"muniYear","agua","dren","elec"
"04011_1995",0,0,0
"04011_1996",0,0,0
"04011_1997",0,0,0
"04011_1998",4066,1,6607
"04011_1999",4490,1,6429
"04011_2000",5204,1,5101
"04011_2001",5315,1,5317
"04011_2002",5315,1,5389
"04011_2003",5635,1,5338
"04011_2004",6264,1,5710
"04011_2005",6841,1,5935
"04011_2006",7150,1,7367
"04011_2007",7478,1,8892
"04011_2008",7478,1,11354
"04011_2009",7644,1,11360
"04011_2010",8312,1,11110
"04011_2011",8639,1,8419
"04011_2012",9883,1,8803
"04011_2013",10710,1,9289
"04011_2014",10858,1,10786
"04011_2015",10855,1,10784
"05001_1994",185,1,10784.6666666667
"05001_1995",228,0.5,10784.6666666667
"05001_1996",271,0,10784.6666666667
"05001_1997",283,0,10784.6666666667
"05001_1998",219,0,10784.6666666667
"05001_1999",223,0,10784.6666666667
"05001_2000",237.5,0,10784.6666666667
"05001_2001",252,0,8088.5
"05001_2002",442,0,2696
"05001_2003",247,0,0
"05001_2004",247,0,0
"05001_2005",517,0,0
"05001_2006",588,0,0
"05001_2007",595,0,0
"05001_2008",623,0,0
"05001_2009",629,0,0
"05001_2010",623,0,0
"05001_2011",1073,0,0
"05001_2012",923,0,0
"05001_2013",1073,0,0
"05001_2014",5213.66666666667,0,0
"05001_2015",1073,0,0
"05002_1994",13495,1,0
"05002_1995",15678,1,0
"05002_1996",17861,1,0
"05002_1997",18371,1,0
"05002_1998",20353,1,0
"05002_1999",21464,1,0
"05002_2000",24270,1,0
"05002_2001",25997,1,0
"05002_2002",27146,1,0
"05002_2003",29519,1,0
"05002_2004",31431,1,0
"05002_2005",35222,1,0
"05002_2006",38047,1,0
"05002_2007",37529,1,0
"05002_2008",44519,1,0
"05002_2009",44519,1,0
"05002_2010",39353,1,0
"05002_2011",38750,1,0
"05002_2012",38951,1,0
"05002_2013",42180,1,0
"05002_2014",31833,1,0
"05002_2015",45610,1,0
"05003_1994",4279,1,0
"05003_1995",4949,1,0
"05003_1996",5062,1,0
"05003_1997",5287,1,0
"05003_1998",5347,1,0
"05003_1999",5508,1,0
"05003_2000",5785,1,0
"05003_2001",5922,1,0
"05003_2002",6055,1,0
"05003_2003",6128,1,0
"05003_2004",6244,1,0
"05003_2005",6336,1,0
"05003_2006",6735,1,0
"05003_2007",6898,1,0
"05003_2008",7083,1,0
"05003_2009",7087,1,0
"05003_2010",7020,1,0
"05003_2011",6866,1,0
"05003_2012",6917.33333333333,1,0
"05003_2013",7074.5,1,0
"05003_2014",5439.33333333333,1,0
"05003_2015",7283,1,0
"05004_1994",1752,2,0
"05004_1995",1833,1.5,0
"05004_1996",1914,1,0
"05004_1997",1881,1,0
"05004_1998",1465,1,0
"05004_1999",1492,1,0
"05004_2000",1677,1,0
"05004_2001",1713,1,0
"05004_2002",1771,1,0
"05004_2003",1816,1,0
"05004_2004",1846,1,0
"05004_2005",1901,1,0
"05004_2006",2007,1,0
"05004_2007",2272,1,0
"05004_2008",2386,1,0
"05004_2009",2415,1,0
"05004_2010",2453,1,0
"05004_2011",2637,1,0
"05004_2012",2575.66666666667,1,0
"05004_2013",4104,1,0
"05004_2014",3879.66666666667,1,0
"05004_2015",5571,1,0
"05005_1994",497,1,0
"05005_1995",515,1,0
"05005_1996",527,1,0
"05005_1997",533,1,0
"05005_1998",564,1,0
"05005_1999",565,1,0
"05005_2000",614,1,0
"05005_2001",627,1,0
"05005_2002",625,1,0
"05005_2003",643,1,0
"05005_2004",632,1,0
"05005_2005",681,1,0
"05005_2006",695,1,0
"05005_2007",704,1,0
"05005_2008",728,1,0
"05005_2009",741,1,0
"05005_2010",735,1,0
"05005_2011",733,1,0
"05005_2012",733.666666666667,1,0
"05005_2013",731.5,1,0
"05005_2014",1659.33333333333,1,0
"05005_2015",730,1,0
"05006_1994",3518,1,0
"05006_1995",3549,1,0
"05006_1996",3742,1,0
"05006_1997",3820,1,0
"05006_1998",3593,1,0
"05006_1999",3620,1,0
"05006_2000",4086,1,0
"05006_2001",4221,1,0
"05006_2002",4344,1,0
"05006_2003",4485,1,0
"05006_2004",4656,1,0
"05006_2005",4836,1,0
"05006_2006",5733,1,0
"05006_2007",5858,1,0
"05006_2008",6582,1,0
"05006_2009",6865,1,0
"05006_2010",6438,1,0
"05006_2011",6192,1,0
"05006_2012",6274,1,0
"05006_2013",6503,1,0
"05006_2014",5340.66666666667,1,0
"05006_2015",6814,1,0
"05007_1994",2394,1,0
"05007_1995",2543,1,0
"05007_1996",2692,1,0
"05007_1997",2726,1,0
"05007_1998",2708,1,0
"05007_1999",2778,1,0
"05007_2000",2811,1,0
"05007_2001",3033,1,0
"05007_2002",2987.5,1,0
"05007_2003",2942,1,0
"05007_2004",3011,1,0
"05007_2005",3118,1,0
"05007_2006",3168,1,0
"05007_2007",3303,1,0
"05007_2008",3380,1,0
"05007_2009",3474,1,0
"05007_2010",3458,1,0
"05007_2011",3619,1,0
"05007_2012",3565.33333333333,1,0
"05007_2013",3712,1,0
"05007_2014",2589,1,0
"05007_2015",3805,1,0
"05008_1994",157,1,0
"05008_1995",450.5,0.5,0
"05008_1996",744,0,0
"05008_1997",764,0,0
"05008_1998",190,0,0
