"muniYear","agua","dren","elec"
"03003_2007",62262,NA,84363
"03003_2008",79247,5,88736
"03003_2009",82014,4,91912
"03003_2010",75794,4,94104
"03003_2011",77826,4,97316
"03003_2012",80036,4,100527
"03003_2013",82035,5,104211
"03003_2014",83917,5,106867
"03003_2015",85051,4,110419
"03008_1994",14224,2,18635
"03008_1995",15646,2,19623
"03008_1996",17166,2,21247
"03008_1997",19621,2,23708
"03008_1998",21395,2,27016
"03008_1999",24790,2,32075
"03008_2000",27113,2,36491
"03008_2001",29338,2,39806
"03008_2002",29937,2,45058
"03008_2003",31757,2,50038
"03008_2004",35293,2,60588
"03008_2005",32258,NA,67211
"03008_2006",NA,3,69291
"03008_2007",32240,5,76188
"03008_2008",73912,5,82891
"03008_2009",NA,NA,85726
"03008_2010",NA,NA,88293
"03008_2011",66190,5,91203
"03008_2012",68212,NA,93830
"03008_2013",69615,5,97117
"03008_2014",70728,5,100767
"03008_2015",72266,5,107731
"03009_1994",2585,1,2442
"03009_1995",2760,1,2546
"03009_1996",3044,1,2619
"03009_1997",3292,2,2759
"03009_1998",3292,1,2953
"03009_1999",3566,2,3220
"03009_2000",4095,2,3355
"03009_2001",3894,2,3524
"03009_2002",4214,2,3720
"03009_2003",4198,2,3880
"03009_2004",4468,2,4151
"03009_2005",4475,1,4452
"03009_2006",4441,1,4928
"03009_2007",4468,NA,5610
"03009_2008",6108,2,6129
"03009_2009",5781,2,6341
"03009_2010",6494,2,6776
"03009_2011",6598,2,6801
"03009_2012",NA,2,6901
"03009_2013",NA,2,6981
"03009_2014",NA,2,7161
"03009_2015",6547,2,7353
"04001_1994",5522,0,14473
"04001_1995",6911,0,8912
"04001_1996",7698,0,9385
"04001_1997",7735,0,9585
"04001_1998",7892,4,9614
"04001_1999",8179,4,9953
"04001_2000",8216,4,10493
"04001_2001",8216,4,10948
"04001_2002",8216,4,11182
"04001_2003",8243,4,11439
"04001_2004",8243,4,11985
"04001_2005",8286,4,12213
"04001_2006",8336,4,12708
"04001_2007",9337,4,13041
"04001_2008",9337,4,13658
"04001_2009",9336,4,13910
"04001_2010",9982,4,13407
"04001_2011",10328,4,15036
"04001_2012",10755,4,15652
"04001_2013",11380,4,16429
"04001_2014",12373,4,17674
"04001_2015",12242,4,17535
"04002_1994",45035,1,48504
"04002_1995",43787,1,51780
"04002_1996",45266,1,52022
"04002_1997",49950,1,54106
"04002_1998",49696,2,56949
"04002_1999",53897,2,59248
"04002_2000",54598,2,64055
"04002_2001",56944,2,66833
"04002_2002",58000,2,68688
"04002_2003",59120,2,71848
"04002_2004",61203,2,74496
"04002_2005",63807,2,76908
"04002_2006",66544,2,78147
"04002_2007",69734,2,79869
"04002_2008",69734,2,80789
"04002_2009",76435,2,83549
"04002_2010",76431,2,84877
