"muniYear","homicidios"
"05019_2001",1
"05019_2002",NA
"05019_2003",NA
"05019_2004",1
"05019_2005",1
"05019_2006",NA
"05019_2007",NA
"05019_2008",NA
"05019_2009",NA
"05019_2010",2
"05019_2011",1
"05019_2012",4
"05019_2013",2
"05019_2014",2
"05019_2015",NA
"05020_1994",6
"05020_1995",5
"05020_1996",10
"05020_1997",2
"05020_1998",5
"05020_1999",1
"05020_2000",2
"05020_2001",1
"05020_2002",2
"05020_2003",6
"05020_2004",3
"05020_2005",2
"05020_2006",2
"05020_2007",2
"05020_2008",5
"05020_2009",2
"05020_2010",3
"05020_2011",4
"05020_2012",7
"05020_2013",7
"05020_2014",16
"05020_2015",5
"05021_1994",NA
"05021_1995",NA
"05021_1996",NA
"05021_1997",NA
"05021_1998",6
"05021_1999",NA
"05021_2000",NA
"05021_2001",NA
"05021_2002",NA
"05021_2003",NA
"05021_2004",1
"05021_2005",NA
"05021_2006",NA
"05021_2007",NA
"05021_2008",NA
"05021_2009",NA
"05021_2010",NA
"05021_2011",NA
"05021_2012",3
"05021_2013",1
"05021_2014",1
"05021_2015",NA
"05022_1994",NA
"05022_1995",1
"05022_1996",3
"05022_1997",NA
"05022_1998",1
"05022_1999",NA
"05022_2000",1
"05022_2001",1
"05022_2002",2
"05022_2003",3
"05022_2004",1
"05022_2005",1
"05022_2006",NA
"05022_2007",NA
"05022_2008",1
"05022_2009",2
"05022_2010",1
"05022_2011",1
"05022_2012",6
"05022_2013",4
"05022_2014",4
"05022_2015",4
"05023_1994",3
"05023_1995",NA
"05023_1996",1
"05023_1997",NA
"05023_1998",1
"05023_1999",1
"05023_2000",NA
"05023_2001",NA
"05023_2002",NA
"05023_2003",1
"05023_2004",1
"05023_2005",NA
"05023_2006",NA
"05023_2007",NA
"05023_2008",NA
"05023_2009",2
"05023_2010",NA
"05023_2011",NA
"05023_2012",4
"05023_2013",1
"05023_2014",1
"05023_2015",1
"05024_1994",9
"05024_1995",3
"05024_1996",3
"05024_1997",NA
"05024_1998",1
"05024_1999",1
"05024_2000",1
"05024_2001",3
"05024_2002",3
"05024_2003",1
"05024_2004",2
"05024_2005",5
"05024_2006",2
"05024_2007",3
"05024_2008",1
"05024_2009",3
"05024_2010",4
"05024_2011",3
"05024_2012",4
"05024_2013",3
"05024_2014",3
"05024_2015",2
"05025_1994",15
"05025_1995",14
"05025_1996",20
"05025_1997",14
"05025_1998",16
"05025_1999",12
"05025_2000",12
"05025_2001",16
"05025_2002",26
"05025_2003",12
"05025_2004",9
"05025_2005",8
"05025_2006",10
"05025_2007",9
"05025_2008",11
"05025_2009",12
"05025_2010",26
"05025_2011",11
"05025_2012",54
"05025_2013",38
"05025_2014",39
"05025_2015",35
"05026_1994",NA
"05026_1995",NA
"05026_1996",NA
"05026_1997",NA
"05026_1998",NA
"05026_1999",NA
"05026_2000",NA
"05026_2001",NA
"05026_2002",NA
"05026_2003",NA
"05026_2004",NA
"05026_2005",NA
"05026_2006",NA
"05026_2007",NA
"05026_2008",NA
"05026_2009",NA
"05026_2010",NA
"05026_2011",NA
"05026_2012",1
"05026_2013",NA
"05026_2014",NA
"05026_2015",NA
"05027_1994",2
"05027_1995",3
"05027_1996",1
"05027_1997",NA
"05027_1998",2
"05027_1999",4
"05027_2000",3
"05027_2001",1
"05027_2002",2
"05027_2003",1
"05027_2004",NA
"05027_2005",2
"05027_2006",1
"05027_2007",1
"05027_2008",NA
"05027_2009",6
"05027_2010",5
"05027_2011",15
"05027_2012",8
"05027_2013",9
"05027_2014",8
"05027_2015",4
"05028_1994",NA
"05028_1995",3
"05028_1996",3
"05028_1997",3
"05028_1998",2
"05028_1999",2
"05028_2000",1
"05028_2001",2
"05028_2002",NA
"05028_2003",1
"05028_2004",2
"05028_2005",2
"05028_2006",NA
"05028_2007",1
"05028_2008",2
"05028_2009",3
"05028_2010",5
"05028_2011",9
"05028_2012",8
"05028_2013",22
"05028_2014",5
"05028_2015",7
"05029_1994",NA
"05029_1995",NA
"05029_1996",NA
"05029_1997",NA
"05029_1998",NA
"05029_1999",1
"05029_2000",NA
"05029_2001",NA
"05029_2002",NA
"05029_2003",NA
"05029_2004",NA
"05029_2005",NA
"05029_2006",NA
"05029_2007",NA
"05029_2008",NA
"05029_2009",NA
"05029_2010",NA
"05029_2011",NA
"05029_2012",NA
"05029_2013",NA
"05029_2014",4
"05029_2015",1
"05030_1994",28
"05030_1995",38
"05030_1996",25
"05030_1997",25
"05030_1998",15
"05030_1999",20
"05030_2000",19
"05030_2001",23
"05030_2002",23
"05030_2003",19
"05030_2004",18
"05030_2005",28
"05030_2006",16
"05030_2007",33
"05030_2008",21
"05030_2009",19
"05030_2010",33
"05030_2011",76
"05030_2012",101
"05030_2013",79
"05030_2014",56
"05030_2015",38
"05031_1994",2
"05031_1995",3
"05031_1996",NA
"05031_1997",NA
"05031_1998",1
"05031_1999",NA
"05031_2000",NA
"05031_2001",NA
"05031_2002",1
"05031_2003",1
"05031_2004",NA
"05031_2005",NA
"05031_2006",NA
"05031_2007",NA
"05031_2008",2
"05031_2009",1
"05031_2010",1
"05031_2011",NA
"05031_2012",5
"05031_2013",NA
"05031_2014",6
"05031_2015",1
"05032_1994",4
"05032_1995",NA
"05032_1996",2
"05032_1997",1
"05032_1998",2
"05032_1999",1
"05032_2000",3
"05032_2001",5
"05032_2002",4
"05032_2003",3
"05032_2004",NA
"05032_2005",2
"05032_2006",2
"05032_2007",3
"05032_2008",3
"05032_2009",2
"05032_2010",2
"05032_2011",4
"05032_2012",5
"05032_2013",9
"05032_2014",4
"05032_2015",4
"05033_1994",13
"05033_1995",8
"05033_1996",12
"05033_1997",4
"05033_1998",5
"05033_1999",9
"05033_2000",7
"05033_2001",9
"05033_2002",8
"05033_2003",4
"05033_2004",3
"05033_2005",7
"05033_2006",7
"05033_2007",9
"05033_2008",10
"05033_2009",6
"05033_2010",14
"05033_2011",7
"05033_2012",27
"05033_2013",75
"05033_2014",9
"05033_2015",5
"05034_1994",NA
"05034_1995",NA
"05034_1996",1
"05034_1997",NA
"05034_1998",NA
"05034_1999",NA
"05034_2000",NA
"05034_2001",NA
"05034_2002",NA
"05034_2003",NA
"05034_2004",NA
"05034_2005",NA
"05034_2006",NA
"05034_2007",2
"05034_2008",NA
"05034_2009",2
"05034_2010",NA
"05034_2011",NA
"05034_2012",NA
"05034_2013",1
"05034_2014",NA
"05034_2015",NA
"05035_1994",69
"05035_1995",49
"05035_1996",34
"05035_1997",61
"05035_1998",42
"05035_1999",42
"05035_2000",37
"05035_2001",55
"05035_2002",41
"05035_2003",32
"05035_2004",34
"05035_2005",40
"05035_2006",33
"05035_2007",26
"05035_2008",91
"05035_2009",143
"05035_2010",288
"05035_2011",488
"05035_2012",792
"05035_2013",350
"05035_2014",198
"05035_2015",135
"05036_1994",2
"05036_1995",4
"05036_1996",3
"05036_1997",2
"05036_1998",3
"05036_1999",NA
"05036_2000",3
"05036_2001",1
"05036_2002",3
"05036_2003",1
"05036_2004",1
"05036_2005",2
"05036_2006",3
"05036_2007",NA
"05036_2008",2
"05036_2009",3
"05036_2010",3
"05036_2011",4
