"muniYear","tot_del","hom"
"04008_1999",31,2
"04008_2000",28,2
"04008_2001",10,1
"04008_2002",17,1
"04008_2003",28,1
"04008_2004",43,2
"04008_2005",16,0
"04008_2006",29,0
"04008_2007",26,3
"04008_2008",37,1
"04008_2009",27,1
"04008_2010",12,0
"04009_1994",776,0.333333333333333
"04009_1995",888,5.25
"04009_1996",644,17
"04009_1997",535,22.6666666666667
"04009_1998",538,20
"04009_1999",501,28
"04009_2000",521,26
"04009_2001",203,17
"04009_2002",142,19
"04009_2003",147,17
"04009_2004",140,9
"04009_2005",90,15
"04009_2006",115,10
"04009_2007",49,10
"04009_2008",75,10
"04009_2009",65,4
"04009_2010",56,6
"04010_1994",0,5.33333333333333
"04010_1995",0,6.75
"04010_1996",0,8.25
"04010_1997",116,9
"04010_1998",166,11
"04010_1999",132,5
"04010_2000",104,5
"04010_2001",110,4
"04010_2002",51,5
"04010_2003",87,8
"04010_2004",46,9
"04010_2005",56,11
"04010_2006",75,11
"04010_2007",55,14
"04010_2008",68,15
"04010_2009",53,2
"04010_2010",58,6
"04011_1994",0,4.66666666666667
"04011_1995",0,7
"04011_1996",0,16.5
"04011_1997",0,20
"04011_1998",189,14
"04011_1999",247,32
"04011_2000",297,11
"04011_2001",233,11
"04011_2002",138,10
"04011_2003",107,15
"04011_2004",94,9
"04011_2005",83,11
"04011_2006",57,6
"04011_2007",73,14
"04011_2008",95,11
"04011_2009",53,4
"04011_2010",66,14
"05001_1994",61.6666666666667,10.6666666666667
"05001_1995",61.6666666666667,10.6666666666667
"05001_1996",61.6666666666667,10.6666666666667
"05001_1997",61.6666666666667,10.6666666666667
"05001_1998",61.6666666666667,10.6666666666667
"05001_1999",61.6666666666667,10.6666666666667
"05001_2000",61.6666666666667,10.6666666666667
"05001_2001",61.6666666666667,10.6666666666667
"05001_2002",61.6666666666667,10.6666666666667
"05001_2003",61.6666666666667,10.6666666666667
"05001_2004",61.6666666666667,10.6666666666667
"05001_2005",61.6666666666667,10.6666666666667
"05001_2006",61.6666666666667,10.6666666666667
"05001_2007",61.6666666666667,10.6666666666667
"05001_2008",61.6666666666667,10.6666666666667
"05001_2009",61.6666666666667,10.6666666666667
"05001_2010",61.6666666666667,10.6666666666667
"05002_1994",61.6666666666667,10.6666666666667
"05002_1995",61.6666666666667,10.6666666666667
"05002_1996",61.6666666666667,10.6666666666667
"05002_1997",61.6666666666667,10.6666666666667
"05002_1998",61.6666666666667,10.6666666666667
"05002_1999",61.6666666666667,10.6666666666667
"05002_2000",61.6666666666667,10.6666666666667
"05002_2001",61.6666666666667,10.6666666666667
"05002_2002",61.6666666666667,10.6666666666667
"05002_2003",61.6666666666667,10.6666666666667
"05002_2004",61.6666666666667,10.6666666666667
