"CVE_MUN","IM","POB_TOT","AÑO","muniYear"
"05016",-0.891,1832,1995,"05016_1995"
"05005",-0.646,1808,2010,"05005_2010"
"05016",-1.223,1781,2000,"05016_2000"
"05016",-1.012,1773,2015,"05016_2015"
"05005",-0.647,1720,2015,"05005_2015"
"05005",-0.747,1713,1995,"05005_1995"
"05016",-1.054,1708,2005,"05016_2005"
"05012",-0.673,1697,2015,"05012_2015"
"05005",-0.682,1677,2000,"05005_2000"
"05005",-0.538,1672,2005,"05005_2005"
"05015",-0.43,1668,1990,"05015_1990"
"05015",-0.56,1610,2000,"05015_2000"
"05015",-0.862,1599,2010,"05015_2010"
"05015",-0.224,1588,1995,"05015_1995"
"05015",-0.958,1574,2015,"05015_2015"
"05013",-0.796,1565,2015,"05013_2015"
"05013",-0.746,1516,2005,"05013_2005"
"05013",-0.773,1441,2000,"05013_2000"
"05001",-1.356,1409,1990,"05001_1990"
"05015",-0.733,1393,2005,"05015_2005"
"05001",-1.352,1290,1995,"05001_1995"
"05013",-0.341,1271,1995,"05013_1995"
"05013",-0.258,1220,1990,"05013_1990"
"05001",-1.205,1126,2000,"05001_2000"
"05001",-1.096,1070,2010,"05001_2010"
"05001",-1.184,1015,2015,"05001_2015"
"05001",-1.041,991,2005,"05001_2005"
"06007",-1.509,184541,2015,"06007_2015"
"06007",-1.553,161420,2010,"06007_2010"
"06002",-1.595,150673,2015,"06002_2015"
"06002",-1.698,146904,2010,"06002_2010"
"06007",-1.513,137842,2005,"06007_2005"
"06010",-1.801,136779,2015,"06010_2015"
"06002",-1.724,132273,2005,"06002_2005"
"06002",-1.799,129958,2000,"06002_2000"
"06007",-1.522,125143,2000,"06007_2000"
"06009",-0.716,123191,2015,"06009_2015"
"06002",-1.839,120781,1995,"06002_1995"
"06010",-1.928,119956,2010,"06010_2010"
"06002",-2.012,116505,1990,"06002_1990"
"06009",-0.87,112726,2010,"06009_2010"
"06007",-1.624,108584,1995,"06007_1995"
"06010",-1.875,100121,2005,"06010_2005"
"06009",-0.842,99289,2000,"06009_2000"
"06009",-0.804,98150,2005,"06009_2005"
"06007",-1.681,92863,1990,"06007_1990"
"06009",-0.992,91036,1995,"06009_1995"
"06009",-1.043,82699,1990,"06009_1990"
"06010",-1.87,80808,2000,"06010_2000"
"06010",-1.51,66300,1995,"06010_1995"
"06010",-1.688,37842,1990,"06010_1990"
"06005",-1.285,30198,2015,"06005_2015"
"06001",-0.481,29599,2015,"06001_2015"
"06001",-0.689,28695,2010,"06001_2010"
"06001",-0.709,28574,2000,"06001_2000"
"06001",-0.927,28015,1995,"06001_1995"
"06001",-0.955,27782,1990,"06001_1990"
"06005",-1.342,27107,2010,"06005_2010"
"06005",-1.296,26771,2000,"06005_2000"
"06005",-1.245,25576,2005,"06005_2005"
"06005",-1.416,25462,1995,"06005_1995"
"06001",-0.688,24939,2005,"06001_2005"
"06005",-1.454,24458,1990,"06005_1990"
"06003",-0.873,21544,2015,"06003_2015"
"06003",-0.931,20888,2010,"06003_2010"
"06004",-0.952,20198,2015,"06004_2015"
"06003",-0.803,19495,2005,"06003_2005"
"06004",-0.956,19385,2010,"06004_2010"
"06003",-0.768,19384,2000,"06003_2000"
"06004",-0.806,18756,2000,"06004_2000"
"06003",-0.942,17601,1995,"06003_1995"
"06004",-0.838,17363,2005,"06004_2005"
"06004",-1.005,16939,1995,"06004_1995"
"06003",-0.847,16909,1990,"06003_1990"
"06004",-1.032,16019,1990,"06004_1990"
"06008",-0.762,8985,2015,"06008_2015"
"06008",-0.684,8466,2000,"06008_2000"
"06008",-1.142,8321,1995,"06008_1995"
"06008",-0.954,8191,1990,"06008_1990"
"06008",-0.814,8174,2010,"06008_2010"
"06008",-0.641,7478,2005,"06008_2005"
"06006",-0.261,5527,2015,"06006_2015"
"06006",-0.229,5478,2000,"06006_2000"
"06006",-0.303,5300,2010,"06006_2010"
"06006",-0.207,5242,1990,"06006_1990"
"06006",-0.455,4989,1995,"06006_1995"
"06006",-0.338,4759,2005,"06006_2005"
"07101",-1.29,598710,2015,"07101_2015"
"07101",-1.345,553374,2010,"07101_2010"
"07101",-1.26,503320,2005,"07101_2005"
"07101",-1.385,434143,2000,"07101_2000"
"07101",-1.288,386135,1995,"07101_1995"
"07089",-0.577,348156,2015,"07089_2015"
"07089",-0.437,320451,2010,"07089_2010"
"07101",-1.564,295608,1990,"07101_1990"
"07089",-0.437,282420,2005,"07089_2005"
"07089",-0.552,271674,2000,"07089_2000"
"07089",-0.478,244855,1995,"07089_1995"
"07089",-0.585,222405,1990,"07089_1990"
"07059",1.417,218893,2015,"07059_2015"
"07078",-0.729,209591,2015,"07078_2015"
"07059",1.256,198877,2010,"07059_2010"
"07078",-0.529,185917,2010,"07078_2010"
"07059",1.457,170280,2005,"07059_2005"
"07078",-0.62,166460,2005,"07078_2005"
"07059",1.874,154934,1995,"07059_1995"
"07019",-0.235,153448,2015,"07019_2015"
"07059",0.98,146696,2000,"07059_2000"
"07019",-0.399,141013,2010,"07019_2010"
"07078",-0.734,132421,2000,"07078_2000"
"07031",2.238,127914,2015,"07031_2015"
"07052",1.393,122821,2015,"07052_2015"
"07019",-0.416,121263,2005,"07019_2005"
