"muniYear","POB_TOT"
"07061_2000",65673
"07106_2015",65009
"07017_2000",64013
"07017_1995",63600
"07077_2015",63446
"07107_1995",63351
"07065_1990",63209
"07096_2005",63172
"07106_2010",61341
"07027_2000",60620
"07099_2005",60417
"07057_2000",59875
"07099_2000",59686
"07017_1990",59152
"07023_2000",59005
"07099_1995",58827
"07027_1995",58825
"07061_1995",58705
"07096_2000",58153
"07057_2005",58115
"07099_1990",57975
"07034_2005",57580
"07077_2010",57253
"07106_2005",56833
"07107_1990",54424
"07040_2015",54332
"07077_2005",53547
"07069_2015",53525
"07057_1995",53143
"07023_1995",52942
"07106_2000",52833
"07034_2000",52168
"07023_1990",51757
"07106_1995",51756
"07012_2015",51722
"07040_2010",51359
"07069_2010",50079
"07034_1995",50012
"07077_2000",49300
"07096_1995",48708
"07096_1990",48558
"07040_2000",48476
"07064_2015",48126
"07057_1990",48106
"07061_1990",47954
"07040_2005",47953
"07051_2015",47932
"07040_1995",47644
"07069_1995",47616
"07069_2000",46949
"07069_2005",46439
"07020_2015",46405
"07015_2015",45594
"07077_1995",45450
"07027_1990",45143
"07074_2015",45104
"07041_2015",44891
"07040_1990",44496
"07081_2015",44295
"07034_1990",44222
"07020_2010",44082
"07051_2010",43913
"07015_2010",43811
"07093_2015",43593
"07064_2010",43350
"07106_1990",43334
"07069_1990",43248
"07012_2010",43179
"07094_2015",43175
"07102_2015",41823
"07064_1995",41819
"07077_1990",41583
"07064_2005",41423
"07092_2015",41305
"07041_2010",41266
"07111_2015",41112
"07092_2010",41045
"07015_2005",40975
"07074_2010",40711
"07081_2010",40297
"07093_2010",40268
"07020_2005",40189
"07009_2015",40114
"07009_2010",40042
"07020_2000",39770
"07026_2015",39648
"07051_1995",39293
"07079_2015",39204
"07009_1995",39164
"07046_2015",39109
"07051_2000",39055
"07015_2000",39033
"07087_2015",38797
"07009_2005",38572
"07092_2000",38383
"07080_2010",38143
"07009_2000",37989
"07051_2005",37945
"07064_2000",37887
"07109_2015",37833
"07093_2005",37826
"07046_2010",37818
"07102_2010",37737
"07094_2010",37607
"07092_2005",37543
"07020_1995",37456
"07041_2005",36951
"07111_2010",36489
"07009_1990",36224
"07026_2010",36111
"07080_2005",35871
"07046_2005",35831
"07015_1995",35738
"07046_1995",35403
"07080_2015",35192
"07015_1990",35070
"07087_2010",35056
"07037_2015",35017
"07013_2015",34997
"07092_1995",34988
"07046_2000",34937
"07074_2005",34896
"07051_1990",34882
"07064_1990",34868
"07112_2015",34829
"07074_2000",34809
"07046_1990",34802
"07030_2015",34744
"07026_1995",34508
"07092_1990",34465
"07100_2015",34305
"07102_2005",34101
"07109_2010",34028
"07012_2005",33842
"07102_2000",33467
"07037_2010",33444
"07020_1990",33338
"07093_2000",33161
"07079_2010",33060
"07087_2005",32976
"07004_2015",32872
"07080_2000",32457
"07081_2005",32451
"07102_1995",32395
"07094_2005",32368
"07102_1990",32348
"07074_1995",32283
"07041_2000",32245
"07072_2015",31942
"07032_2015",31822
"07026_2005",31788
"07103_2015",31755
"07100_2010",31723
"07081_2000",31615
"07030_2010",31515
"07037_2000",31464
"07109_2005",31457
"07002_2015",31424
"07068_2015",31107
"07072_2010",31075
"07111_2005",31061
"07074_1990",30875
"07080_1995",30777
"07006_2015",30732
"07026_1990",30680
"07013_2010",30642
"07037_2005",30450
"07037_1995",30356
"07087_2000",30251
"07032_2010",30068
"07041_1995",29996
"07004_2010",29865
"07068_2010",29813
"07111_2000",29754
"07080_1990",29629
"07068_2005",29583
"07006_2010",29547
"07079_2005",29543
"07068_2000",29357
"07081_1995",29328
"07054_2015",29239
"07112_2010",29016
"07071_2015",28961
"07002_2010",28947
"07100_2005",28884
"07008_2005",28883
"07012_2000",28719
"07087_1995",28498
"07003_2015",28380
"07037_1990",28335
"07075_2015",28261
"07030_2005",28260
"07008_2015",28162
"07103_2010",28137
"07032_2000",28064
"07081_1990",28038
"07071_2010",27899
"07072_2005",27832
"07093_1995",27614
"07003_2010",27580
"07032_2005",27364
"07026_2000",27331
"07068_1990",27312
"07093_1990",27217
"07044_2015",27198
"07112_1995",27150
"07041_1990",27073
"07094_2000",26996
"07076_2015",26921
"07100_2000",26866
"07071_2000",26706
"07008_2010",26628
"07054_2010",26573
"07013_2005",26446
"07079_2000",26436
"07071_2005",26414
"07030_1995",26392
"07012_1995",26301
"07032_1995",26282
"07006_2000",26094
"07109_2000",26044
"07002_2005",26003
"07068_1995",25987
"07087_1990",25739
"07003_1995",25647
"07071_1995",25535
"07075_2010",25530
